Data File:,'13211526 NB SB2 2391N.rdf'
Site Code:,'17C NB SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
259,NB,6/11/2015 6:38:04.944,2,583,2,50.09,67.03,67.13,-5.36,7.07
260,NB,6/11/2015 6:38:12.044,7,622,10,44.92,7.00,7.10,-0.08,9.14,5.99,3.52,22.32,4.01,3.93
261,SB2,6/11/2015 6:38:38.897,3,605,8,51.09,1037.95,1038.08,-0.29,13.73,26.78
262,SB2,6/11/2015 6:38:43.467,4,626,11,50.55,4.03,4.57,0.69,13.72,26.53,9.47
263,SB2,6/11/2015 6:38:45.609,2,583,2,50.24,1.47,2.14,7.95,6.42
264,SB2,6/11/2015 6:38:46.720,2,583,2,50.09,1.02,1.11,-2.68,8.13
265,SB2,6/11/2015 6:38:53.534,2,583,2,48.78,6.70,6.81,-4.77,8.37
266,NB,6/11/2015 6:40:55.818,2,583,2,49.00,163.04,163.77,-5.58,7.25
267,NB,6/11/2015 6:42:16.326,2,581,1,42.69,80.41,80.51,-3.94,5.98
268,NB,6/11/2015 6:42:19.443,2,588,3,43.52,3.02,3.12,1.23,11.79
269,NB,6/11/2015 6:46:07.970,2,588,3,50.70,228.34,228.53,3.41,10.17
270,NB,6/11/2015 6:47:23.261,2,583,2,51.72,75.15,75.29,-4.88,7.35
