Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,12,9:11:16 AM,1,2,72,1757,67,EB
7,12,9:11:38 AM,1,2,75,1583,22,EB
7,12,9:11:53 AM,1,4,71,4994,15,EB
7,12,9:11:55 AM,1,2,71,1500,2,EB
7,12,9:13:43 AM,1,5,74,1849,108,EB
7,12,9:14:23 AM,1,2,51,1769,40,EB
7,12,9:14:26 AM,1,2,69,1581,3,EB
7,12,9:14:58 AM,1,2,67,1642,32,EB
7,12,9:15:16 AM,1,3,75,2005,18,EB
7,12,9:15:17 AM,1,3,78,3450,1,EB
7,12,9:15:19 AM,1,5,69,2115,2,EB
7,12,9:15:20 AM,1,2,70,1650,1,EB
7,12,9:15:24 AM,1,2,71,1502,4,EB
7,12,9:17:03 AM,1,2,0,1008,99,EB
7,12,9:17:45 AM,1,2,75,1838,42,EB
7,12,9:19:05 AM,1,2,69,1677,80,EB
7,12,9:20:42 AM,1,13,65,10310,97,EB
7,12,9:21:37 AM,1,2,68,3267,55,EB
7,12,9:22:38 AM,1,2,72,1762,61,EB
7,12,9:22:42 AM,1,2,72,1715,4,EB
7,12,9:22:47 AM,1,2,70,3253,5,EB
7,12,9:23:12 AM,1,14,62,11042,25,EB
7,12,9:23:14 AM,1,5,62,1749,2,EB
7,12,9:23:43 AM,1,3,69,1887,29,EB
7,12,9:24:17 AM,1,5,71,2047,34,EB
7,12,9:24:19 AM,1,2,73,1545,2,EB
7,12,9:24:34 AM,1,14,155,8760,15,EB
7,12,9:24:59 AM,1,6,62,3352,25,EB
7,12,9:25:46 AM,1,2,78,1805,47,EB
7,12,9:26:27 AM,1,10,66,7619,41,EB
7,12,9:28:02 AM,1,2,77,1749,95,EB
7,12,9:32:42 AM,1,8,62,4320,280,EB
7,12,9:33:18 AM,1,2,72,1576,36,EB
7,12,9:33:39 AM,1,3,72,2097,21,EB
7,12,9:35:41 AM,1,3,72,2019,122,EB
7,12,9:36:17 AM,1,14,61,11003,36,EB
7,12,9:36:18 AM,1,3,61,1935,1,EB
7,12,9:36:22 AM,1,3,61,1813,4,EB
7,12,9:36:40 AM,1,3,69,1708,18,EB
7,12,9:37:06 AM,1,2,74,1609,26,EB
7,12,9:37:09 AM,1,2,73,1529,3,EB
7,12,9:37:43 AM,1,8,61,4495,34,EB
7,12,9:37:46 AM,1,9,62,7213,3,EB
7,12,9:37:46 AM,1,2,62,1635,0,EB
7,12,9:37:48 AM,1,5,59,2290,2,EB
7,12,9:37:49 AM,1,2,61,1491,1,EB
7,12,9:38:01 AM,1,5,66,3517,12,EB
7,12,9:38:03 AM,1,3,63,3796,2,EB
7,12,9:38:54 AM,1,2,68,1825,51,EB
7,12,9:39:33 AM,1,3,71,1956,39,EB
7,12,9:40:31 AM,1,3,80,2031,58,EB
7,12,9:40:46 AM,1,2,75,1541,15,EB
7,12,9:40:48 AM,1,2,72,1773,2,EB
7,12,9:43:26 AM,1,2,68,1532,158,EB
7,12,9:43:28 AM,1,3,69,2049,2,EB
7,12,9:45:17 AM,1,3,61,4208,109,EB
7,12,9:45:57 AM,1,2,52,1494,40,EB
7,12,9:45:58 AM,1,2,53,1647,1,EB
7,12,9:46:04 AM,1,2,63,1720,6,EB
7,12,9:47:06 AM,1,3,65,1963,62,EB
7,12,9:47:09 AM,1,3,63,3781,3,EB
7,12,9:48:29 AM,1,2,74,1592,80,EB
7,12,9:50:07 AM,1,3,65,2054,98,EB
7,12,9:50:10 AM,1,3,62,1984,3,EB
7,12,9:50:11 AM,1,2,64,1604,1,EB
7,12,9:50:21 AM,1,3,67,3457,10,EB
7,12,9:51:40 AM,1,2,64,3180,79,EB
7,12,9:51:41 AM,1,2,65,1776,1,EB
7,12,9:52:13 AM,1,2,82,1660,32,EB
7,12,9:52:17 AM,1,2,76,1766,4,EB
7,12,9:52:44 AM,1,2,71,1710,27,EB
7,12,9:52:51 AM,1,9,65,6982,7,EB
7,12,9:52:53 AM,1,2,67,1475,2,EB
7,12,9:52:55 AM,1,3,63,1562,2,EB
7,12,9:54:11 AM,1,2,74,1516,76,EB
