Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,12,9:34:51 AM,1,3,72,1648,41,WB
7,12,9:35:05 AM,1,3,69,1706,14,WB
7,12,9:35:36 AM,1,3,71,1641,31,WB
7,12,9:35:40 AM,1,2,72,1533,4,WB
7,12,9:36:47 AM,1,2,71,1521,67,WB
7,12,9:37:20 AM,1,2,71,1406,33,WB
7,12,9:38:04 AM,1,5,66,5850,44,WB
7,12,9:38:38 AM,1,3,82,1583,34,WB
7,12,9:39:31 AM,1,2,72,1308,53,WB
7,12,9:39:48 AM,1,3,71,1755,17,WB
7,12,9:40:13 AM,1,3,72,1812,25,WB
7,12,9:40:56 AM,1,2,74,1500,43,WB
7,12,9:41:11 AM,1,2,71,1407,15,WB
7,12,9:42:54 AM,1,2,62,1566,103,WB
7,12,9:43:03 AM,1,3,60,1747,9,WB
7,12,9:45:15 AM,1,2,67,1354,132,WB
7,12,9:45:17 AM,1,2,66,1479,2,WB
7,12,9:45:23 AM,1,2,71,1276,6,WB
7,12,9:45:55 AM,1,3,66,1464,32,WB
7,12,9:46:18 AM,1,6,60,2750,23,WB
7,12,9:47:55 AM,1,3,69,1419,97,WB
7,12,9:48:16 AM,1,2,72,1689,21,WB
7,12,9:49:29 AM,1,9,66,6508,73,WB
7,12,9:49:34 AM,1,3,69,1570,5,WB
7,12,9:50:04 AM,1,4,67,3394,30,WB
7,12,9:50:23 AM,1,3,91,1721,19,WB
7,12,9:50:37 AM,1,2,71,1453,14,WB
7,12,9:51:42 AM,1,2,72,1403,65,WB
7,12,9:52:53 AM,1,2,69,1473,71,WB
7,12,9:54:23 AM,1,5,60,4700,90,WB
7,12,9:55:04 AM,1,2,0,1005,41,WB
7,12,9:55:34 AM,1,2,73,1309,30,WB
7,12,9:55:35 AM,1,2,54,1310,1,WB
7,12,9:55:38 AM,1,3,57,1647,3,WB
7,12,9:55:40 AM,1,2,59,1597,2,WB
7,12,9:55:41 AM,1,3,58,1687,1,WB
7,12,9:55:43 AM,1,3,63,1596,2,WB
